"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"id"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SDD";128;0;"Intel";"macos";1.37;71379;1
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";128;1024;"Nvidia";"windows";2.1;61006;2
"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";1.2;8;"SDD";512;0;"Intel";"windows";0.97;107306;3
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";"macos";1.34;47896;4
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Intel";"N/A";1.86;30636;5
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";2.7;8;"SDD";128;1024;"Nvidia";"N/A";2.69;47366;6
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SDD";512;0;"AMD";"macos";1.83;135195;7
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Nvidia";"windows";2.56;46833;8
"Lenovo";"2 in 1 Convertible";13.9;1920;1080;1;"Intel";"Core i7";2.7;8;"SDD";256;0;"Intel";"windows";1.38;57489;9
"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";"windows";2.8;24828;10
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SDD";256;0;"Intel";"macos";1.37;96096;11
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"windows";2.0;18328;12
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";128;2048;"AMD";"windows";2.2;52481;13
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.1;23816;14
"HP";"Notebook";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";"windows";2.04;29784;15
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";512;0;"Nvidia";"windows";2.56;66561;16
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SDD";256;0;"Nvidia";"windows";3.6;159787;17
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"windows";2.1;21312;18
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.49;35964;19
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";"macos";2.04;114018;20
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";"macos";1.34;61736;21
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SDD";512;0;"Intel";"macos";1.37;108691;22
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"hybrid";1024;0;"Nvidia";"windows";2.62;47899;23
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"windows";2.08;43636;24
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;1024;"Nvidia";"windows";4.3;95851;25
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"SDD";512;0;"Nvidia";"windows";1.3;79654;26
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Nvidia";"windows";2.2;44808;27
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SDD";128;0;"Intel";"windows";1.9;26533;28
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.6;41026;29
"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SDD";256;0;"AMD";"windows";1.86;21232;30
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;1024;"Nvidia";"windows";2.8;100699;31
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";512;0;"Intel";"windows";1.49;58768;32
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"N/A";1.86;20987;33
"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.7;4;"SDD";256;0;"Intel";"windows";1.48;57649;34
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;6;"SDD";256;0;"AMD";"windows";1.91;32980;35
"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";2.4;4;"SDD";256;0;"Intel";"windows";1.74;33513;36
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"windows";2.4;20460;37
"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.1;70063;38
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"AMD";"windows";2.13;40908;39
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SDD";128;0;"Intel";"windows";1.91;23390;40
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SDD";256;0;"Intel";"windows";2.0;31232;41
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;2048;"Nvidia";"windows";2.43;130483;42
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SDD";256;0;"Intel";"linux";2.0;22111;43
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"SDD";256;2048;"AMD";"windows";2.8;69211;44
"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";1.68;24988;45
